epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,415.878,1.27585,0.86383,1.11517,0.67498,0.72939,0.72495,0.46304,1.2759,0.88082,1.1653,0.000742625,0.000742625,0.000742625
43,425.225,1.26786,0.85772,1.11969,0.69801,0.71866,0.75334,0.47944,1.27171,0.85367,1.15974,0.00073025,0.00073025,0.00073025
44,434.352,1.27035,0.8537,1.11586,0.70364,0.72299,0.75233,0.48317,1.28182,0.83675,1.16155,0.000717875,0.000717875,0.000717875
45,444.431,1.26237,0.84102,1.1171,0.67631,0.71919,0.748,0.47825,1.27721,0.85526,1.16291,0.0007055,0.0007055,0.0007055
46,453.623,1.27607,0.85066,1.11691,0.64565,0.71019,0.69663,0.44652,1.268,0.87335,1.15294,0.000693125,0.000693125,0.000693125
47,463.399,1.26744,0.84739,1.11872,0.69908,0.71156,0.75162,0.47652,1.3078,0.86738,1.17943,0.00068075,0.00068075,0.00068075
48,473,1.26961,0.84564,1.1128,0.70333,0.71998,0.75569,0.48329,1.2743,0.82827,1.1609,0.000668375,0.000668375,0.000668375
49,482.618,1.26645,0.83766,1.11461,0.70319,0.71078,0.75623,0.48175,1.27481,0.84509,1.16513,0.000656,0.000656,0.000656
50,492,1.26794,0.83607,1.11242,0.72361,0.6928,0.75167,0.47975,1.27846,0.84057,1.15986,0.000643625,0.000643625,0.000643625
51,501.516,1.26738,0.83733,1.11123,0.69146,0.70657,0.73997,0.47855,1.26798,0.83943,1.15567,0.00063125,0.00063125,0.00063125
52,511.031,1.25517,0.82808,1.10913,0.69845,0.70729,0.75126,0.4833,1.27322,0.83201,1.15268,0.000618875,0.000618875,0.000618875
53,520.561,1.25527,0.81528,1.10637,0.68497,0.75694,0.75821,0.48785,1.27754,0.81128,1.15829,0.0006065,0.0006065,0.0006065
54,530.196,1.2483,0.81121,1.10786,0.70789,0.71091,0.76412,0.4896,1.28358,0.83626,1.16876,0.000594125,0.000594125,0.000594125
55,539.657,1.25751,0.82458,1.10488,0.70014,0.70767,0.75189,0.48053,1.2776,0.85342,1.16179,0.00058175,0.00058175,0.00058175
56,549.151,1.24856,0.81561,1.10213,0.66019,0.72451,0.74755,0.47867,1.27016,0.86724,1.15463,0.000569375,0.000569375,0.000569375
57,558.837,1.25156,0.8142,1.10116,0.69552,0.71651,0.74983,0.4811,1.28444,0.81033,1.16508,0.000557,0.000557,0.000557
58,568.47,1.26501,0.82521,1.11345,0.68618,0.72168,0.74359,0.48028,1.25928,0.83717,1.14696,0.000544625,0.000544625,0.000544625
59,578.057,1.25377,0.81545,1.1081,0.69877,0.72745,0.7612,0.49057,1.25865,0.80789,1.15191,0.00053225,0.00053225,0.00053225
60,587.541,1.24527,0.79914,1.10173,0.72227,0.68393,0.74752,0.47746,1.27231,0.84256,1.16039,0.000519875,0.000519875,0.000519875
61,596.985,1.2346,0.79678,1.10067,0.73382,0.69621,0.75808,0.48879,1.25221,0.80607,1.14348,0.0005075,0.0005075,0.0005075
62,606.6,1.23354,0.79327,1.0997,0.69753,0.72106,0.75743,0.48793,1.24897,0.82154,1.1468,0.000495125,0.000495125,0.000495125
63,616.043,1.24101,0.79737,1.10401,0.6716,0.71624,0.73545,0.47033,1.26967,0.81335,1.15764,0.00048275,0.00048275,0.00048275
64,625.579,1.23549,0.78963,1.09708,0.72025,0.73369,0.76818,0.4966,1.27011,0.80654,1.15889,0.000470375,0.000470375,0.000470375
65,635.179,1.2388,0.78812,1.09862,0.68182,0.72761,0.75338,0.48376,1.26667,0.82098,1.15155,0.000458,0.000458,0.000458
66,644.407,1.23615,0.78085,1.09942,0.65476,0.76161,0.7633,0.48783,1.2694,0.80847,1.15821,0.000445625,0.000445625,0.000445625
67,654.348,1.23343,0.77407,1.09538,0.67761,0.73167,0.75799,0.48608,1.26748,0.80288,1.15548,0.00043325,0.00043325,0.00043325
68,663.604,1.23743,0.78807,1.09962,0.7016,0.73463,0.76547,0.49286,1.26571,0.79914,1.15865,0.000420875,0.000420875,0.000420875
69,673.351,1.23432,0.78628,1.0965,0.69872,0.7317,0.76106,0.49029,1.25434,0.7885,1.14775,0.0004085,0.0004085,0.0004085
70,682.721,1.22156,0.77545,1.09419,0.69631,0.73286,0.75425,0.48412,1.26971,0.79143,1.15332,0.000396125,0.000396125,0.000396125
71,691.942,1.23238,0.78462,1.09584,0.68293,0.74697,0.76426,0.49265,1.26083,0.78777,1.15335,0.00038375,0.00038375,0.00038375
72,701.682,1.22662,0.77774,1.09376,0.71739,0.70836,0.75887,0.48807,1.27187,0.81079,1.15763,0.000371375,0.000371375,0.000371375
73,711.289,1.22914,0.78185,1.09294,0.70795,0.71881,0.74967,0.48508,1.26986,0.80554,1.15392,0.000359,0.000359,0.000359
74,720.878,1.22277,0.77055,1.09404,0.70111,0.73074,0.75955,0.48896,1.26016,0.80295,1.14909,0.000346625,0.000346625,0.000346625
75,730.479,1.22514,0.77192,1.09098,0.71026,0.72933,0.77043,0.49824,1.26619,0.79338,1.15573,0.00033425,0.00033425,0.00033425
76,740.055,1.22644,0.77171,1.09263,0.6802,0.73385,0.75385,0.48719,1.25908,0.79768,1.14802,0.000321875,0.000321875,0.000321875
77,749.408,1.22172,0.77058,1.08914,0.65493,0.72894,0.74951,0.48248,1.25873,0.8087,1.15344,0.0003095,0.0003095,0.0003095
78,759.075,1.21056,0.75455,1.08896,0.65094,0.75412,0.75707,0.48758,1.25678,0.78472,1.15037,0.000297125,0.000297125,0.000297125
79,768.537,1.21989,0.76031,1.08819,0.68391,0.73871,0.76041,0.49035,1.26062,0.78395,1.15097,0.00028475,0.00028475,0.00028475
80,778.218,1.21711,0.75197,1.08947,0.72019,0.72798,0.75993,0.48986,1.26149,0.78727,1.14384,0.000272375,0.000272375,0.000272375
81,787.826,1.21536,0.75785,1.09267,0.73273,0.70514,0.75954,0.48805,1.27193,0.79004,1.15781,0.00026,0.00026,0.00026
82,797.396,1.21044,0.75114,1.09276,0.70609,0.72097,0.75241,0.48486,1.25951,0.79847,1.14684,0.000247625,0.000247625,0.000247625
83,807.022,1.20588,0.75476,1.08663,0.69899,0.72626,0.75503,0.48596,1.26139,0.78286,1.1484,0.00023525,0.00023525,0.00023525
84,816.46,1.20924,0.74741,1.08184,0.71807,0.73024,0.77201,0.49768,1.25729,0.7755,1.14851,0.000222875,0.000222875,0.000222875
85,826.037,1.20344,0.74526,1.08544,0.7025,0.73922,0.76782,0.4954,1.26117,0.78746,1.15021,0.0002105,0.0002105,0.0002105
86,835.482,1.20695,0.7458,1.0826,0.69095,0.75004,0.76452,0.49549,1.25713,0.78606,1.15116,0.000198125,0.000198125,0.000198125
87,844.943,1.20586,0.73742,1.08921,0.72463,0.71099,0.76464,0.49466,1.26437,0.79413,1.15031,0.00018575,0.00018575,0.00018575
88,854.438,1.20262,0.74035,1.0858,0.71793,0.72021,0.76115,0.49495,1.26003,0.79155,1.14976,0.000173375,0.000173375,0.000173375
89,864.297,1.20224,0.74185,1.0805,0.71182,0.72856,0.75973,0.49189,1.25513,0.78437,1.15279,0.000161,0.000161,0.000161
90,873.759,1.19821,0.72475,1.07743,0.6856,0.76371,0.76776,0.49687,1.25547,0.77772,1.14919,0.000148625,0.000148625,0.000148625
91,886.919,1.1995,0.75268,1.09287,0.69662,0.72704,0.75275,0.48617,1.26502,0.80096,1.15783,0.00013625,0.00013625,0.00013625
92,896.498,1.19402,0.73543,1.08829,0.72505,0.70981,0.75978,0.48926,1.26516,0.78866,1.153,0.000123875,0.000123875,0.000123875
93,905.857,1.18676,0.72133,1.08417,0.69467,0.75031,0.76386,0.49395,1.26635,0.78428,1.15664,0.0001115,0.0001115,0.0001115
94,915.082,1.18278,0.71406,1.08179,0.71197,0.73058,0.76383,0.49499,1.25595,0.77713,1.15044,9.9125e-05,9.9125e-05,9.9125e-05
95,924.584,1.18354,0.73022,1.08868,0.70482,0.7333,0.76172,0.4933,1.25552,0.78478,1.14835,8.675e-05,8.675e-05,8.675e-05
96,933.92,1.17346,0.71456,1.08157,0.71157,0.73478,0.76175,0.49376,1.25673,0.78177,1.14952,7.4375e-05,7.4375e-05,7.4375e-05
97,943.36,1.17809,0.70943,1.08495,0.72814,0.72217,0.76331,0.49513,1.25507,0.77963,1.14864,6.2e-05,6.2e-05,6.2e-05
98,952.639,1.18108,0.71511,1.08584,0.69916,0.74422,0.7594,0.49296,1.25082,0.77951,1.14745,4.9625e-05,4.9625e-05,4.9625e-05
99,961.933,1.17517,0.70318,1.07777,0.6969,0.74792,0.75844,0.49137,1.25254,0.77906,1.1459,3.725e-05,3.725e-05,3.725e-05
100,971.245,1.16848,0.70247,1.08075,0.70156,0.75541,0.76153,0.49315,1.25014,0.77601,1.1456,2.4875e-05,2.4875e-05,2.4875e-05
